Sample_Chromosome	CenSat	Size
mPonAbe1_chr22_hap2_hsa21	ct	3104857
mPonAbe1_chr23_hap1_hsa22	ct	3120428
mPonAbe1_chr23_hap2_hsa22	ct	3052186
mPonAbe1_chrY_hap2_hsaY	ct	1233277
mPonPyg2_chr12_hap1_hsa2a	ct	2958524
mPonPyg2_chr12_hap2_hsa2a	ct	3762194
mPonPyg2_chr11_hap1_hsa2b	ct	2514108
mPonPyg2_chr11_hap2_hsa2b	ct	2993574
mPonPyg2_chr13_hap1_hsa9	ct	3782666
mPonPyg2_chr13_hap2_hsa9	ct	3782900
mPonPyg2_chr14_hap1_hsa13	ct	6679315
mPonPyg2_chr14_hap2_hsa13	ct	2958466
mPonPyg2_chr15_hap1_hsa14	ct	1994051
mPonPyg2_chr15_hap2_hsa14	ct	3350922
mPonPyg2_chr16_hap1_hsa15	ct	2595007
mPonPyg2_chr16_hap2_hsa15	ct	3711007
mPonPyg2_chr17_hap1_hsa18	ct	3292038
mPonPyg2_chr17_hap2_hsa18	ct	5612785
mPonPyg2_chr22_hap1_hsa21	ct	2944611
mPonPyg2_chr22_hap2_hsa21	ct	2266313
mPonPyg2_chr23_hap1_hsa22	ct	3866082
mPonPyg2_chr23_hap2_hsa22	ct	1794666
mPonPyg2_chrY_hap2_hsaY	ct	16875805
mSymSyn1_chr21_hap1	ct	1311838
mSymSyn1_chr21_hap2	ct	1353765
mSymSyn1_chrY_hap2	ct	1400032
chm13_chr13	ct	3073661
chm13_chr14	ct	4316946
chm13_chr15	ct	1823601
chm13_chr21	ct	3602157
chm13_chr22	ct	3825802
HG002_chr13_MATERNAL_SD	SD	5176756
HG002_chr13_PATERNAL_SD	SD	7359887
HG002_chr14_MATERNAL_SD	SD	7143746
HG002_chr14_PATERNAL_SD	SD	9106819
HG002_chr15_MATERNAL_SD	SD	3852900
HG002_chr15_PATERNAL_SD	SD	3212005
HG002_chr21_MATERNAL_SD	SD	4331283
HG002_chr21_PATERNAL_SD	SD	3570548
HG002_chr22_MATERNAL_SD	SD	5828061
HG002_chr22_PATERNAL_SD	SD	6311285
mGorGor1_chr22_mat_hsa21_SD	SD	5791998
mGorGor1_chr22_pat_hsa21_SD	SD	4241948
mGorGor1_chr23_mat_hsa22_SD	SD	3196364
mGorGor1_chr23_pat_hsa22_SD	SD	2639231
mPanPan1_chr14_pat_hsa13_SD	SD	3584773
mPanPan1_chr14_mat_hsa13_SD	SD	2059385
mPanPan1_chr15_mat_hsa14_SD	SD	4043195
mPanPan1_chr15_pat_hsa14_SD	SD	3738149
mPanPan1_chr17_mat_hsa18_SD	SD	2518809
mPanPan1_chr17_pat_hsa18_SD	SD	2384033
mPanPan1_chr22_pat_hsa21_SD	SD	2540418
mPanPan1_chr22_mat_hsa21_SD	SD	116939
mPanPan1_chr23_pat_hsa22_SD	SD	2999234
mPanPan1_chr23_mat_hsa22_SD	SD	3356616
mPanTro3_chr14_hap1_hsa13_SD	SD	7477295
mPanTro3_chr14_hap2_hsa13_SD	SD	6325829
mPanTro3_chr15_hap1_hsa14_SD	SD	6269493
mPanTro3_chr15_hap2_hsa14_SD	SD	3953556
mPanTro3_chr17_hap1_hsa18_SD	SD	4844866
mPanTro3_chr17_hap2_hsa18_SD	SD	6095897
mPanTro3_chr22_hap1_hsa21_SD	SD	5004286
mPanTro3_chr22_hap2_hsa21_SD	SD	3491360
mPanTro3_chr23_hap1_hsa22_SD	SD	4390796
mPanTro3_chr23_hap2_hsa22_SD	SD	3254141
mPonAbe1_chr12_hap1_hsa2a_SD	SD	4599569
mPonAbe1_chr12_hap2_hsa2a_SD	SD	4263946
mPonAbe1_chr11_hap1_hsa2b_SD	SD	3854342
mPonAbe1_chr11_hap2_hsa2b_SD	SD	4684591
mPonAbe1_chr13_hap1_hsa9_SD	SD	3483331
mPonAbe1_chr13_hap2_hsa9_SD	SD	2302320
mPonAbe1_chr14_hap1_hsa13_SD	SD	4085897
mPonAbe1_chr14_hap2_hsa13_SD	SD	102684
mPonAbe1_chr15_hap1_hsa14_SD	SD	5256310
mPonAbe1_chr15_hap2_hsa14_SD	SD	2817847
mPonAbe1_chr16_hap1_hsa15_SD	SD	3719396
mPonAbe1_chr16_hap2_hsa15_SD	SD	5361375
mPonAbe1_chr17_hap1_hsa18_SD	SD	4535995
mPonAbe1_chr17_hap2_hsa18_SD	SD	4331915
mPonAbe1_chr22_hap1_hsa21_SD	SD	3617408
mPonAbe1_chr22_hap2_hsa21_SD	SD	5440408
mPonAbe1_chr23_hap1_hsa22_SD	SD	5119525
mPonAbe1_chr23_hap2_hsa22_SD	SD	4794233
mPonAbe1_chrY_hap2_hsaY_SD	SD	2032388
mPonPyg2_chr12_hap1_hsa2a_SD	SD	6017718
mPonPyg2_chr12_hap2_hsa2a_SD	SD	6997140
mPonPyg2_chr11_hap1_hsa2b_SD	SD	4250422
mPonPyg2_chr11_hap2_hsa2b_SD	SD	3101875
mPonPyg2_chr13_hap1_hsa9_SD	SD	4905430
mPonPyg2_chr13_hap2_hsa9_SD	SD	5367946
mPonPyg2_chr14_hap1_hsa13_SD	SD	6674225
mPonPyg2_chr14_hap2_hsa13_SD	SD	4097905
mPonPyg2_chr15_hap1_hsa14_SD	SD	3225720
mPonPyg2_chr15_hap2_hsa14_SD	SD	5482713
mPonPyg2_chr16_hap1_hsa15_SD	SD	4219149
mPonPyg2_chr16_hap2_hsa15_SD	SD	5758665
mPonPyg2_chr17_hap1_hsa18_SD	SD	5898962
mPonPyg2_chr17_hap2_hsa18_SD	SD	7615610
mPonPyg2_chr22_hap1_hsa21_SD	SD	5412642
mPonPyg2_chr22_hap2_hsa21_SD	SD	4833126
mPonPyg2_chr23_hap1_hsa22_SD	SD	5592118
mPonPyg2_chr23_hap2_hsa22_SD	SD	4242875
mPonPyg2_chrY_hap2_hsaY_SD	SD	20092433
mSymSyn1_chr21_hap1_SD	SD	1766043
mSymSyn1_chr21_hap2_SD	SD	1542012
mSymSyn1_chrY_hap2_SD	SD	1673870
chm13_chr13_SD	SD	4327995
chm13_chr14_SD	SD	6402521
chm13_chr15_SD	SD	2927931
chm13_chr21_SD	SD	4281370
chm13_chr22_SD	SD	6867284
